TRIPID,HOUSEID,PERSONID,TDTRPNUM,STRTTIME,TRPMILES,TRPTRANS,LOOP_TRIP,TRIPPURP,TRAVDAY,HOMEOWN,HHSIZE,HHFAMINC,HHSTATE,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,CENSUS_D,HH_RACE,EDUC,WORKER,WHYTRP90,R_AGE_IMP,R_SEX_IMP,OBHUR,DBHUR,OBPPOPDN,DBPPOPDN,TRAVELMODE
24,4,1,2,1000,5.26,11,2,NHB,6,2,1,5,CA,1,1,1,5,9,2,3,1,1,39,2,U,U,7000,17000,RAIL
25,4,1,3,1500,20.409,11,2,HBW,6,2,1,5,CA,1,1,1,5,9,2,3,1,1,39,2,U,U,17000,17000,RAIL
26,5,1,1,1500,4.634,3,2,HBO,6,1,2,3,GA,0,10,1,2,5,2,3,2,5,68,2,C,C,3000,3000,PASSENGER
27,5,1,2,1620,4.319,3,2,HBO,6,1,2,3,GA,0,10,1,2,5,2,3,2,5,68,2,C,C,3000,3000,PASSENGER
28,6,1,1,1200,9.558,3,2,NHB,1,2,1,2,NC,0,1,4,6,5,2,2,2,3,52,2,R,T,50,1500,PASSENGER
29,6,1,2,1235,0.473,3,2,NHB,1,2,1,2,NC,0,1,4,6,5,2,2,2,8,52,2,T,C,1500,3000,PASSENGER
30,6,1,3,1430,8.504,3,2,HBSOCREC,1,2,1,2,NC,0,1,4,6,5,2,2,2,8,52,2,C,R,3000,50,PASSENGER
31,7,1,1,740,0.01,1,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,3,2,11,35,2,C,C,7000,7000,WALK
32,7,1,2,755,0.032,1,2,NHB,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,7000,WALK
33,7,1,3,830,0.033,1,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,7000,WALK
34,7,1,4,915,2.788,11,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,7000,RAIL
35,7,1,5,1130,0.713,1,2,NHB,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,17000,WALK
36,7,1,6,1200,2.958,11,2,NHB,5,2,3,2,NY,0,3,1,1,2,1,3,2,3,35,2,C,C,17000,3000,RAIL
37,7,1,7,1520,5.894,17,2,HBSHOP,5,2,3,2,NY,0,3,1,1,2,1,3,2,3,35,2,C,C,3000,7000,TAXI
38,7,1,8,1542,0.033,1,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,7000,WALK
39,7,1,9,1550,0.032,1,2,NHB,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,7000,WALK
40,7,1,10,1615,0.01,1,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,3,2,4,35,2,C,C,7000,7000,WALK
41,7,2,1,740,0.01,1,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,1,-1,11,14,2,C,C,7000,7000,WALK
42,7,2,2,800,5.575,10,2,NHB,5,2,3,2,NY,0,3,1,1,2,1,1,-1,5,14,2,C,T,7000,3000,RAIL
43,7,2,3,1545,5.693,10,2,HBO,5,2,3,2,NY,0,3,1,1,2,1,1,-1,5,14,2,T,C,3000,7000,RAIL
44,8,1,1,750,3.483,11,2,HBO,3,2,2,4,CA,2,2,1,1,9,1,4,1,5,23,2,C,S,17000,7000,RAIL
45,8,1,2,1700,7.513,11,2,HBO,3,2,2,4,CA,2,2,1,1,9,1,4,1,5,23,2,S,C,7000,17000,RAIL
46,8,1,3,1820,1.464,1,2,HBSOCREC,3,2,2,4,CA,2,2,1,1,9,1,4,1,10,23,2,C,C,17000,7000,WALK
47,8,1,4,1850,1.465,1,2,HBSOCREC,3,2,2,4,CA,2,2,1,1,9,1,4,1,10,23,2,C,C,7000,17000,WALK
48,8,2,1,800,5.231,3,2,HBW,3,2,2,4,CA,2,2,1,1,9,1,4,1,1,22,2,C,S,7000,1500,PASSENGER
49,8,2,2,1800,1.631,2,2,HBW,3,2,2,4,CA,2,2,1,1,9,1,4,1,1,22,2,S,C,1500,17000,CYCLE
50,8,2,3,1900,0.395,1,2,HBSHOP,3,2,2,4,CA,2,2,1,1,9,1,4,1,3,22,2,C,C,17000,17000,WALK
51,8,2,4,1950,0.395,1,2,HBSHOP,3,2,2,4,CA,2,2,1,1,9,1,4,1,3,22,2,C,C,17000,17000,WALK
52,8,2,5,2050,3.164,3,2,HBO,3,2,2,4,CA,2,2,1,1,9,1,4,1,11,22,2,C,C,17000,7000,PASSENGER
53,9,1,1,815,30.085,11,2,HBSOCREC,6,2,2,4,CA,1,7,1,4,9,2,3,1,8,55,1,C,C,17000,7000,RAIL
54,9,1,2,1335,13.672,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,3,1,99,55,1,C,S,7000,7000,PASSENGER
55,9,1,3,1435,15.042,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,3,1,3,55,1,S,C,7000,7000,PASSENGER
56,9,1,4,1523,1.414,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,3,1,3,55,1,C,C,7000,17000,PASSENGER
57,9,1,5,1615,0.729,3,2,HBSHOP,6,2,2,4,CA,1,7,1,4,9,2,3,1,8,55,1,C,C,17000,17000,PASSENGER
58,9,1,6,2200,0.5,1,1,HBO,6,2,2,4,CA,1,7,1,4,9,2,3,1,10,55,1,C,C,17000,17000,WALK
59,9,2,1,1030,17.592,3,2,HBO,6,2,2,4,CA,1,7,1,4,9,2,1,2,11,17,2,C,C,17000,7000,PASSENGER
60,9,2,2,1215,2.255,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,10,17,2,C,C,7000,17000,PASSENGER
61,9,2,3,1250,0.374,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,10,17,2,C,C,17000,17000,PASSENGER
62,9,2,4,1325,10.582,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,8,17,2,C,C,17000,7000,PASSENGER
63,9,2,5,1800,23.336,3,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,8,17,2,C,U,7000,7000,PASSENGER
64,9,2,6,2230,12.476,3,2,HBSOCREC,6,2,2,4,CA,1,7,1,4,9,2,1,2,8,17,2,U,C,7000,17000,PASSENGER
65,10,1,1,1330,2.548,12,2,HBO,3,2,1,4,WI,0,9,1,1,3,1,4,2,6,92,2,S,C,3000,7000,RAIL
66,10,1,2,1445,2.548,12,2,HBO,3,2,1,4,WI,0,9,1,1,3,1,4,2,6,92,2,C,S,7000,3000,RAIL
67,11,1,1,1000,3.099,16,2,HBO,4,2,1,1,NY,0,1,1,5,2,1,1,2,5,53,1,U,U,30000,17000,BUS
68,11,1,2,1430,2.984,11,2,HBO,4,2,1,1,NY,0,1,1,5,2,1,1,2,5,53,1,U,U,17000,30000,RAIL
69,12,1,1,715,1.747,16,2,HBW,3,1,1,5,GA,1,1,1,5,5,1,5,1,1,43,2,U,U,17000,7000,BUS
70,12,1,2,1830,1.69,16,2,HBW,3,1,1,5,GA,1,1,1,5,5,1,5,1,1,43,2,U,U,7000,17000,BUS
71,13,1,1,1229,0.112,1,1,HBO,5,2,1,3,WI,0,9,1,1,3,1,2,2,10,64,2,T,T,750,750,WALK
72,13,1,2,1630,15.605,3,2,HBO,5,2,1,3,WI,0,9,1,1,3,1,2,2,5,64,2,T,T,750,7000,PASSENGER
73,13,1,3,2045,15.955,3,2,HBO,5,2,1,3,WI,0,9,1,1,3,1,2,2,5,64,2,T,T,7000,750,PASSENGER
74,14,1,1,1200,67.38,3,2,NHB,3,2,1,3,MD,0,9,2,6,5,2,3,2,4,74,1,S,S,1500,3000,PASSENGER
75,14,1,2,1645,67.463,3,2,NHB,3,2,1,3,MD,0,9,2,6,5,2,3,2,3,74,1,S,S,3000,3000,PASSENGER
76,14,1,3,2115,1.779,3,2,HBSHOP,3,2,1,3,MD,0,9,2,6,5,2,3,2,3,74,1,S,S,3000,1500,PASSENGER
77,15,1,1,930,2.778,1,1,HBO,5,2,1,2,TX,0,9,1,4,7,2,2,2,10,63,2,C,C,7000,7000,WALK
78,16,1,1,750,7.712,13,2,HBW,5,2,1,6,CA,1,1,1,5,9,1,5,1,1,58,2,U,S,30000,1500,OTHER
79,16,1,2,1230,0.283,1,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,4,58,2,S,S,1500,1500,WALK
80,16,1,3,1250,0.283,1,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,4,58,2,S,S,1500,1500,WALK
81,16,1,4,1730,6.292,13,2,HBW,5,2,1,6,CA,1,1,1,5,9,1,5,1,1,58,2,S,U,1500,30000,OTHER
82,16,1,5,1935,1.009,2,2,HBSHOP,5,2,1,6,CA,1,1,1,5,9,1,5,1,3,58,2,U,U,30000,30000,CYCLE
83,16,1,6,1958,1.015,2,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,10,58,2,U,U,30000,3000,CYCLE
84,16,1,7,2105,0.503,2,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,8,58,2,U,U,3000,17000,CYCLE
85,16,1,8,2130,1.608,2,2,HBSOCREC,5,2,1,6,CA,1,1,1,5,9,1,5,1,10,58,2,U,U,17000,30000,CYCLE
86,17,1,1,730,8.19,15,2,HBW,4,2,1,4,CA,1,1,1,5,9,-7,2,1,1,66,1,U,S,30000,1500,BUS
87,17,1,2,1803,7.382,15,2,HBW,4,2,1,4,CA,1,1,1,5,9,-7,2,1,1,66,1,S,U,1500,30000,BUS
88,18,1,1,1100,0.85,2,2,HBSHOP,1,2,2,4,NY,1,2,1,1,2,-7,5,2,10,30,2,S,C,1500,7000,CYCLE
89,18,1,2,1545,0.666,2,2,NHB,1,2,2,4,NY,1,2,1,1,2,-7,5,2,10,30,2,C,C,7000,7000,CYCLE
90,18,1,3,1700,0.085,2,2,NHB,1,2,2,4,NY,1,2,1,1,2,-7,5,2,8,30,2,C,C,7000,7000,CYCLE
91,18,1,4,1730,0.601,2,2,HBSOCREC,1,2,2,4,NY,1,2,1,1,2,-7,5,2,10,30,2,C,S,7000,1500,CYCLE
92,18,2,1,1500,0.85,2,2,HBW,1,2,2,4,NY,1,2,1,1,2,-7,5,1,1,43,1,S,C,1500,7000,CYCLE
93,18,2,2,1930,0.85,2,2,HBW,1,2,2,4,NY,1,2,1,1,2,-7,5,1,1,43,1,C,S,7000,1500,CYCLE
94,19,1,1,1100,8.384,3,2,HBSOCREC,3,2,1,-8,CA,0,9,1,4,9,1,1,2,8,92,2,U,U,17000,17000,PASSENGER
95,19,1,2,1600,10.545,3,2,NHB,3,2,1,-8,CA,0,9,1,4,9,1,1,2,5,92,2,U,U,17000,17000,PASSENGER
96,20,1,1,830,6.147,12,2,HBO,6,1,1,1,GA,0,1,1,1,5,1,2,2,6,55,1,T,C,300,1500,RAIL
97,20,1,2,1000,6.178,12,2,HBO,6,1,1,1,GA,0,1,1,1,5,1,2,2,6,55,1,C,T,1500,300,RAIL
98,21,1,1,1700,1.596,6,2,HBSHOP,7,2,1,1,NY,0,9,1,1,2,2,1,2,3,68,1,S,C,1500,7000,PASSENGER
99,21,1,2,1708,0.64,6,2,NHB,7,2,1,1,NY,0,9,1,1,2,2,1,2,8,68,1,C,C,7000,7000,PASSENGER
100,21,1,3,1830,0.956,6,2,HBSOCREC,7,2,1,1,NY,0,9,1,1,2,2,1,2,8,68,1,C,S,7000,1500,PASSENGER
101,22,1,1,1030,0.529,1,2,HBO,4,2,1,3,WI,0,9,1,1,3,1,4,2,4,69,1,C,C,7000,7000,WALK
102,22,1,2,1515,0.376,1,2,NHB,4,2,1,3,WI,0,9,1,1,3,1,4,2,10,69,1,C,C,7000,7000,WALK
103,22,1,3,1600,0.567,1,2,NHB,4,2,1,3,WI,0,9,1,1,3,1,4,2,4,69,1,C,C,7000,7000,WALK
104,22,1,4,1630,0.381,1,2,NHB,4,2,1,3,WI,0,9,1,1,3,1,4,2,4,69,1,C,C,7000,7000,WALK
105,22,1,5,1800,0.529,1,2,HBO,4,2,1,3,WI,0,9,1,1,3,1,4,2,4,69,1,C,C,7000,7000,WALK
106,23,1,1,1000,10.483,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,S,-9,1500,PASSENGER
107,23,1,2,1145,10.918,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,S,-9,1500,-9,PASSENGER
108,23,1,3,1210,1.225,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,-9,-9,-9,-9,PASSENGER
109,23,1,4,1230,10.154,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,-9,-9,-9,PASSENGER
110,23,1,5,1500,10.0,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,-9,-9,-9,-9,PASSENGER
111,23,1,6,1530,1.225,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,-9,-9,-9,-9,PASSENGER
112,23,1,7,1545,1.216,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,8,28,2,-9,-9,-9,-9,PASSENGER
113,23,1,8,1640,2.857,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,-9,-9,-9,PASSENGER
114,23,1,9,1700,1.324,3,2,HBSHOP,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,-9,-9,-9,PASSENGER
115,23,2,1,1230,10.153,3,2,HBSHOP,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,30,1,-9,-9,-9,-9,PASSENGER
116,23,2,2,1500,10.0,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,8,30,1,-9,-9,-9,-9,PASSENGER
117,23,2,3,2150,1.225,3,2,HBSOCREC,2,2,3,2,NY,0,6,2,6,2,1,2,2,8,30,1,-9,-9,-9,-9,DRIVE
118,23,3,1,1230,10.153,3,2,HBSHOP,2,2,3,2,NY,0,6,2,6,2,1,-1,-1,3,10,1,-9,-9,-9,-9,PASSENGER
119,23,3,2,1500,10.0,3,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,-1,-1,8,10,1,-9,-9,-9,-9,PASSENGER
120,24,1,1,700,-9.0,1,1,HBO,3,2,1,1,TX,0,9,2,6,7,3,3,2,10,69,2,T,T,1500,1500,WALK
121,24,1,2,950,0.089,1,2,HBSOCREC,3,2,1,1,TX,0,9,2,6,7,3,3,2,10,69,2,T,T,1500,1500,WALK
122,24,1,3,1100,0.089,1,2,HBSOCREC,3,2,1,1,TX,0,9,2,6,7,3,3,2,10,69,2,T,T,1500,1500,WALK
123,25,1,1,855,0.074,1,2,HBO,6,2,1,3,MI,0,9,1,1,3,1,3,2,5,85,2,S,S,1500,1500,WALK
124,25,1,2,1000,0.074,1,2,HBO,6,2,1,3,MI,0,9,1,1,3,1,3,2,5,85,2,S,S,1500,1500,WALK
125,25,1,3,1715,3.277,5,2,HBSHOP,6,2,1,3,MI,0,9,1,1,3,1,3,2,10,85,2,S,C,1500,1500,PASSENGER
126,25,1,4,1930,3.277,5,2,HBSHOP,6,2,1,3,MI,0,9,1,1,3,1,3,2,10,85,2,C,S,1500,1500,PASSENGER
127,26,1,1,810,0.667,1,1,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,10,46,1,C,C,7000,7000,WALK
128,26,1,2,826,1.703,11,2,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,6,46,1,C,C,7000,3000,RAIL
129,26,1,3,1145,0.29,1,2,NHB,6,1,1,1,TX,0,1,2,6,7,1,3,2,4,46,1,C,C,3000,3000,WALK
130,26,1,4,1615,0.424,1,2,NHB,6,1,1,1,TX,0,1,2,6,7,1,3,2,4,46,1,C,C,3000,3000,WALK
131,26,1,5,1720,1.156,11,2,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,4,46,1,C,C,3000,7000,RAIL
132,26,1,6,1921,2.222,1,1,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,10,46,1,C,C,7000,7000,WALK
133,27,1,1,900,6.647,11,2,HBO,1,2,1,2,CA,0,9,1,5,9,2,3,2,5,72,1,U,U,17000,3000,RAIL
134,27,1,2,1215,11.83,16,2,NHB,1,2,1,2,CA,0,9,1,5,9,2,3,2,8,72,1,U,U,3000,3000,BUS
135,27,1,3,1345,11.133,16,2,NHB,1,2,1,2,CA,0,9,1,5,9,2,3,2,3,72,1,U,U,3000,17000,BUS
136,27,1,4,1440,5.718,11,2,NHB,1,2,1,2,CA,0,9,1,5,9,2,3,2,3,72,1,U,U,17000,17000,RAIL
137,27,1,5,1545,1.95,11,2,HBSHOP,1,2,1,2,CA,0,9,1,5,9,2,3,2,5,72,1,U,U,17000,17000,RAIL
138,28,1,1,1200,7.415,3,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,1,2,3,23,1,R,R,50,300,PASSENGER
139,28,1,2,1220,0.29,3,2,NHB,6,1,4,-8,NC,1,4,4,6,5,97,1,2,3,23,1,R,R,300,300,PASSENGER
140,28,1,3,1228,7.154,3,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,1,2,3,23,1,R,R,300,50,PASSENGER
141,28,2,1,600,10.361,3,2,HBW,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,1,54,2,R,R,50,50,PASSENGER
142,28,2,2,1800,10.361,3,2,HBW,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,1,54,2,R,R,50,50,PASSENGER
143,28,2,3,1930,7.415,3,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,3,54,2,R,R,50,300,PASSENGER
144,28,2,4,2040,7.422,3,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,3,54,2,R,R,300,50,PASSENGER
145,28,3,1,720,7.968,10,2,HBO,6,1,4,-8,NC,1,4,4,6,5,97,-1,-1,5,8,1,R,R,50,300,RAIL
146,28,3,2,1530,7.997,10,2,HBO,6,1,4,-8,NC,1,4,4,6,5,97,-1,-1,5,8,1,R,R,300,50,RAIL
147,29,1,1,1100,0.218,1,2,HBSHOP,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
148,29,1,2,1135,0.169,1,2,NHB,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
149,29,1,3,1230,0.196,1,2,NHB,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
150,29,1,4,1250,0.111,1,2,NHB,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
151,29,1,5,1320,0.06,1,2,HBSHOP,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
152,29,1,6,1930,2.0,1,1,HBO,5,2,1,5,NY,0,1,2,6,2,3,5,2,10,37,2,T,T,7000,7000,WALK
153,30,1,1,1100,3.06,3,2,HBSHOP,6,1,1,1,NC,0,9,1,4,5,2,1,2,4,85,2,T,T,1500,1500,PASSENGER
154,30,1,2,1145,1.031,3,2,NHB,6,1,1,1,NC,0,9,1,4,5,2,1,2,3,85,2,T,T,1500,1500,PASSENGER
155,30,1,3,1300,0.819,3,2,NHB,6,1,1,1,NC,0,9,1,4,5,2,1,2,3,85,2,T,T,1500,1500,PASSENGER
156,30,1,4,1430,2.895,3,2,HBSHOP,6,1,1,1,NC,0,9,1,4,5,2,1,2,3,85,2,T,T,1500,1500,PASSENGER
157,31,1,1,1300,0.919,1,2,HBSHOP,1,2,1,2,GA,1,1,1,1,5,2,2,1,3,64,2,C,C,3000,3000,WALK
158,31,1,2,1345,0.391,1,2,NHB,1,2,1,2,GA,1,1,1,1,5,2,2,1,3,64,2,C,C,3000,3000,WALK
159,31,1,3,1415,0.529,1,2,HBSHOP,1,2,1,2,GA,1,1,1,1,5,2,2,1,3,64,2,C,C,3000,3000,WALK
160,31,1,4,1600,0.836,1,2,HBSOCREC,1,2,1,2,GA,1,1,1,1,5,2,2,1,8,64,2,C,C,3000,3000,WALK
161,31,1,5,1815,0.836,1,2,HBSOCREC,1,2,1,2,GA,1,1,1,1,5,2,2,1,8,64,2,C,C,3000,3000,WALK
162,32,1,1,1500,3.459,12,2,HBO,7,2,1,2,FL,0,9,1,2,5,1,4,2,6,65,2,C,C,3000,3000,RAIL
163,32,1,2,1530,3.293,12,2,HBO,7,2,1,2,FL,0,9,1,2,5,1,4,2,6,65,2,C,C,3000,3000,RAIL
164,32,1,3,1600,3.006,3,2,HBSHOP,7,2,1,2,FL,0,9,1,2,5,1,4,2,10,65,2,C,C,3000,3000,PASSENGER
165,32,1,4,1900,3.016,3,2,HBSHOP,7,2,1,2,FL,0,9,1,2,5,1,4,2,10,65,2,C,C,3000,3000,PASSENGER
166,33,1,1,1000,0.222,1,2,HBSHOP,2,2,1,2,CA,0,9,2,6,9,1,2,2,3,61,1,T,T,7000,7000,WALK
167,33,1,2,1015,0.222,1,2,HBSHOP,2,2,1,2,CA,0,9,2,6,9,1,2,2,3,61,1,T,T,7000,7000,WALK
168,33,1,3,1045,0.386,2,2,HBSHOP,2,2,1,2,CA,0,9,2,6,9,1,2,2,3,61,1,T,T,7000,7000,CYCLE
169,33,1,4,1120,0.386,2,2,HBSHOP,2,2,1,2,CA,0,9,2,6,9,1,2,2,3,61,1,T,T,7000,7000,CYCLE
170,34,2,1,1010,2.78,3,2,HBSHOP,6,1,2,10,CA,1,2,1,3,9,1,3,2,3,54,2,S,S,7000,7000,DRIVE
171,34,2,2,1130,2.832,3,2,HBSHOP,6,1,2,10,CA,1,2,1,3,9,1,3,2,3,54,2,S,S,7000,7000,DRIVE
172,35,1,1,1100,6.886,17,2,HBSHOP,4,1,1,2,FL,0,9,1,2,5,1,5,2,4,65,2,T,T,300,750,TAXI
173,35,1,2,1120,6.944,17,2,HBSHOP,4,1,1,2,FL,0,9,1,2,5,1,5,2,4,65,2,T,T,750,300,TAXI
174,36,1,1,815,11.462,16,2,HBW,3,2,2,3,NY,1,5,1,5,2,-7,3,1,1,51,2,U,U,30000,30000,BUS
175,36,1,2,1800,12.87,16,2,NHB,3,2,2,3,NY,1,5,1,5,2,-7,3,1,3,51,2,U,U,30000,30000,BUS
176,36,1,3,1922,0.209,1,2,HBSHOP,3,2,2,3,NY,1,5,1,5,2,-7,3,1,1,51,2,U,U,30000,30000,WALK
177,36,2,1,1012,0.176,1,2,HBSOCREC,3,2,2,3,NY,1,5,1,5,2,-7,-1,-1,10,13,2,U,U,30000,30000,WALK
178,36,2,2,1300,0.176,1,2,HBSOCREC,3,2,2,3,NY,1,5,1,5,2,-7,-1,-1,10,13,2,U,U,30000,30000,WALK
179,37,1,1,1000,1.149,3,2,HBSHOP,4,2,1,1,NC,0,9,1,2,5,2,2,2,3,73,2,C,S,3000,1500,PASSENGER
180,37,1,2,1100,0.277,3,2,NHB,4,2,1,1,NC,0,9,1,2,5,2,2,2,3,73,2,S,S,1500,1500,PASSENGER
181,37,1,3,1120,1.294,3,2,HBSHOP,4,2,1,1,NC,0,9,1,2,5,2,2,2,3,73,2,S,C,1500,3000,PASSENGER
182,38,1,1,545,4.537,11,2,NHB,3,2,2,5,MO,1,10,1,4,4,2,3,1,11,33,2,U,U,7000,7000,RAIL
183,39,1,1,1232,0.549,1,2,HBSHOP,6,2,1,1,WI,0,1,2,6,3,1,2,2,3,22,1,C,T,3000,1500,WALK
184,39,1,2,1322,0.549,1,2,NHB,6,2,1,1,WI,0,1,2,6,3,1,2,2,8,22,1,T,C,1500,3000,WALK
185,39,1,3,2105,1.343,1,2,NHB,6,2,1,1,WI,0,1,2,6,3,1,2,2,4,22,1,C,T,3000,1500,WALK
186,39,1,4,2229,1.343,1,2,HBO,6,2,1,1,WI,0,1,2,6,3,1,2,2,8,22,1,T,C,1500,3000,WALK
